discount,levels,material,price,product_upper,region,rooms,seller,space,square_1,square_2,url
,2.0,СИП панели,1959956.0,Мини гостиница «ГнК-17»_к,Крым,2,ДОМ В КРЫМУ,119.0,,,
,2.0,СИП панели,1492762.0,Мини гостиница «ГнК-16»_к,Крым,2,ДОМ В КРЫМУ,90.0,,,
,2.0,СИП панели,2526740.0,Мини гостиница «ГнК-15»_к,Крым,4,ДОМ В КРЫМУ,179.0,,,
,2.0,СИП панели,5872196.0,Мини гостиница «ГнК-14»_к,Крым,4,ДОМ В КРЫМУ,442.0,,,
,2.0,СИП панели,2865834.0,Мини гостиница «ГнК-13»_к,Крым,4,ДОМ В КРЫМУ,180.0,,,
,3.0,СИП панели,5578906.0,Мини гостиница «ГнК-12»_к,Крым,4,ДОМ В КРЫМУ,411.0,,,
,2.0,СИП панели,5576500.0,Мини гостиница «ГнК-11»_к,Крым,4,ДОМ В КРЫМУ,446.0,,,
,3.0,СИП панели,5943695.0,Мини гостиница «ГнК-10»_к,Крым,4,ДОМ В КРЫМУ,480.0,,,
,2.0,СИП панели,5946898.0,Мини гостиница «ГнК-09»_к,Крым,4,ДОМ В КРЫМУ,474.0,,,
,2.0,СИП панели,3954504.0,Мини гостиница «ГнК-08»_к,Крым,4,ДОМ В КРЫМУ,290.0,,,
,2.0,СИП панели,4272697.0,Мини гостиница «ГнК-07»_к,Крым,4,ДОМ В КРЫМУ,323.0,,,
,2.0,СИП панели,2408726.0,Мини гостиница «ГнК-06»_к,Крым,4,ДОМ В КРЫМУ,155.2,,,
,,СИП панели,2609254.0,Мини гостиница «ГнК-05»_к,Крым,3,ДОМ В КРЫМУ,162.0,,,
,2.0,СИП панели,2331763.0,Мини гостиница «ГнК-04»_к,Крым,4,ДОМ В КРЫМУ,153.4,,,
,3.0,СИП панели,4122805.0,Многоквартирный дом «ГнК-03»_к,Крым,4,ДОМ В КРЫМУ,298.0,,,
,3.0,СИП панели,3010608.0,Мини гостиница «ГнК-02»_к,Крым,4,ДОМ В КРЫМУ,226.8,,,
,2.0,СИП панели,2377651.0,Гостиница «ГнК-01»_к,Крым,4,ДОМ В КРЫМУ,138.0,,,
,,Деревянный,14658000.0,ДЕРЕВЯННЫЙ ДОМ Г-1,Московская обл,,Савватеево,650.00,,,
,,Деревянный,20580000.0,ДЕРЕВЯННЫЙ ДОМ Г-2,Московская обл,,Савватеево,860.00,,,
,,Деревянный,19950000.0,ДЕРЕВЯННЫЙ ДОМ Г-3,Московская обл,,Савватеево,860.00,,,
,,Деревянный,20265000.0,ДЕРЕВЯННЫЙ ДОМ Г-4,Московская обл,,Савватеево,860.00,,,
,,Деревянный,29652000.0,ДЕРЕВЯННЫЙ ДОМ Г-5,Московская обл,,Савватеево,1.364.00,,,
,,Деревянный,11881800.0,ДЕРЕВЯННЫЙ ДОМ Г-6,Московская обл,,Савватеево,488.00,,,
,,Деревянный,12495000.0,ДЕРЕВЯННЫЙ ДОМ Г-7,Московская обл,,Савватеево,511.00,,,
,,Деревянный,29752800.0,ДЕРЕВЯННЫЙ ДОМ Г-8,Московская обл,,Савватеево,1.291.86,,,
,,Деревянный,4371900.0,Двухэтажная мини-гостиница «Тридесятое царство»,г. Москва,,Лесстрой,600,,,
,,Деревянный,2347900.0,Двухэтажный гостевой дом 4 в 1 «Доходный дом»,г. Москва,,Лесстрой,158,,,
,,Деревянный,1732450.0,Двухэтажный гостевой дом из бруса 4 в 1 «Квартет»,г. Москва,,Лесстрой,108,,,
,,Деревянный,1957800.0,Двухэтажный гостевой дом из бруса 4 в 1 «Квартет Гранд»,г. Москва,,Лесстрой,120,,,
,,Деревянный,838400.0,Двухэтажный гостевой дом из бруса 3 в 1 «Трио»,г. Москва,,Лесстрой,55,,,
,,Деревянный,480000.0,"""Отель на воде в Живописной Бухте""",г. Москва,,Лесстрой,165,,,
,,Деревянный,3140000.0,Гостиница «Абхазия 314»,г. Москва,,Лесстрой,314,,,
,,Деревянный,2800000.0,Гостиница «Гурзуф 280»,г. Москва,,Лесстрой,280,,,
,,Деревянный,2880000.0,Гостиница «Альфа 288»,г. Москва,,Лесстрой,288,,,
,,Деревянный,14800000.0,Гостиница «Черноморский»,г. Москва,,Лесстрой,1480,,,
